,ID,COMPANY,PROVINCE,geometry,index_right,Latitude,Longitude
4589,12315541,Murphy Oil Company Ltd.,BRITISH COLUMBIA,POINT (-120.09940570083972 55.54804806156443),0,55.54804806156443,-120.09940570083972
4590,12315542,Murphy Oil Company Ltd.,BRITISH COLUMBIA,POINT (-120.09956425580478 55.54804822117002),0,55.54804822117002,-120.09956425580478
4591,12315543,Murphy Oil Company Ltd.,BRITISH COLUMBIA,POINT (-120.0994050380236 55.54773430351926),0,55.54773430351926,-120.0994050380236
4592,12315544,Murphy Oil Company Ltd.,BRITISH COLUMBIA,POINT (-120.09956359332561 55.547734463200264),0,55.547734463200264,-120.09956359332561
4594,12315546,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-120.8702217799562 56.03591650704066),0,56.03591650704066,-120.8702217799562
4595,12315547,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.06366310418822 56.23673351451441),0,56.23673351451441,-122.06366310418822
4596,12315548,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.0638062886341 56.236692538275626),0,56.236692538275626,-122.0638062886341
4597,12315549,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.06394906052743 56.236651217990314),0,56.236651217990314,-122.06394906052743
4598,12315550,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.06215974868744 56.23718396180582),0,56.23718396180582,-122.06215974868744
4603,12315555,Tourmaline Oil Corp.,BRITISH COLUMBIA,POINT (-120.29578815505378 56.59793693204094),0,56.59793693204094,-120.29578815505378
4606,12315558,Shell Canada Limited,BRITISH COLUMBIA,POINT (-120.86656504924088 55.784538909237206),0,55.784538909237206,-120.86656504924088
4607,12315559,Canadian Natural Resources Limited,BRITISH COLUMBIA,POINT (-122.3680340745705 56.79674186296201),0,56.79674186296201,-122.3680340745705
4617,12315569,Ovintiv Canada ULC,BRITISH COLUMBIA,POINT (-120.41298710748607 55.26382490926737),0,55.26382490926737,-120.41298710748607
4620,12315572,Pacific Canbriam Energy Limited,BRITISH COLUMBIA,POINT (-122.04222693566834 56.37437208425342),0,56.37437208425342,-122.04222693566834
